No;Brand;Nama;CPU;GPU;RAM;Storage;Layar;Sound;Baterai;Bobot;Bahan;Bundle;Harga;Image1;Image2;Image 3;Image4;Tokped;Shopee
34;Acer;Aspire 7 Pro (A715-76G);Intel Core i5-12450H;NVIDIA GeForce RTX 3050 6GB GDDR6;8GB DDR4 3200MHz (Dual Channel support, Upgradeable, 2 Slot SODIMM);512GB SSD NVMe PCIe 4.0 (Upgradeable, 1 Slot);"15.6"" FHD (1920 x 1080), 144Hz, LED IPS-Level";Acer TrueHarmony;50Wh, 135W Adapter;1.50 kg;Plastik Polikarbonat;Windows 11 Home + OHS 2021;Rp 10.200.000 - 10.300.000;34a.jpeg;34b.jpeg;34c.jpeg;34d.jpeg;https://tk.tokopedia.com/ZSPdwwBtH/;https://id.shp.ee/8zXMrUk
35;Asus;Vivobook Go 15 OLED (E1504FA);AMD Ryzen 5 7520U;AMD Radeon Graphics;16GB LPDDR5 5500MHz (Soldered, Tidak Upgradeable);512GB M.2 NVMe PCIe 3.0 SSD (Upgradeable, 1 Slot);"15.6"" FHD (1920 x 1080), 60Hz, OLED, 100% DCI-P3, PANTONE Validated";SonicMaster;50Wh, 65W Adapter;1.63 kg;Plastik;Windows 11 Home + OHS 2021;Rp 8.400.000 - 10.500.000;35a.jpeg;35b.jpeg;35c.jpeg;35d.jpeg;https://tk.tokopedia.com/ZSPdEasFD/;https://id.shp.ee/wgAmmtM
36;Acer;Aspire 3 Slim (A314-23M / 36M);Intel Core i3-N305;Intel UHD Graphics;8GB LPDDR4 (Soldered, Tidak Upgradeable);256GB/512GB NVMe Gen3/Gen4 (Upgradeable, 1 Slot);14.0″ WUXGA 1920 x 1200, Acer ComfyView LED-backlit TFT LCD;Stereo Speakers;40Wh, 45W Adapter;1.40 kg;Plastik;Windows 11 Home + OHS 2021;Rp 5.700.000 - 6.100.000;36a.jpeg;36b.jpeg;36c.jpeg;36d.jpeg;https://tk.tokopedia.com/ZSPRMCgbN/;https://id.shp.ee/iMdkmTP
37;Lenovo;ThinkPad X1 Carbon Gen 13 Aura Edition;Intel Core Ultra 7 258V;Intel Arc 140V Graphics;32GB LPDDR5x 8533MHz (Memory on Package/Soldered, Tidak Upgradeable);1TB SSD M.2 2280 PCIe 4.0x4 NVMe Opal 2.0;"14"" WUXGA (1920x1200) IPS 500nits Anti-glare, 100% sRGB, 60Hz, Low Power, TouchScreen";Dolby Atmos Speaker System;57Wh, Rapid Charge ;0.98 kg;Carbon Fiber dan Magnesium Alloy;Windows 11 Pro + OHS ;Rp 35.000.000++;37a.jpeg;37b.jpeg;37c.jpeg;37d.jpeg;https://tk.tokopedia.com/ZSPRrQbPb/;https://id.shp.ee/T2VxR4A
38;Acer;Swift Edge 14 AI;Intel Core Ultra 7 258V;Intel Arc Graphics;32GB LPDDR5x (Dual Channel, Soldered, Tidak Upgradeable);1TB M.2 NVMe PCIe Gen4 (Upgradeable);" 14.0"" WQXGA+ (2880 x 1800), OLED, TouchScreen";DTS:X Ultra;65Wh;0.99kg;Magnesium-Aluminium Alloy;Windows 11 Home + OHS 2021 + Copilot Key;Rp 24.600.000 - 25.600.000;38a.jpeg;38b.jpeg;38c.jpeg;38d.jpeg;https://tk.tokopedia.com/ZSPRh4Jaf/;https://id.shp.ee/4FpzLia
39;MSI;Prestige 13 AI+ Evo (A2VM);Intel Core Ultra 7 258V;Intel Arc Graphics;32GB LPDDR5x 8533MHz (On Package, Tidak Upgradeable);1TB NVMe PCIe Gen4 (Upgradeable, 1 Slot);"13.3"" 2.8K (2880x1800), 60Hz/120Hz, OLED";DTS Audio Processing, Hi-Res Audio;75Wh, 65W Type-C;0.99 kg;Magnesium-Aluminium Alloy;Windows 11 Home/Pro + OHS;Rp 20.800.000 - 21.400.000;39a.jpeg;39b.jpeg;39c.jpeg;39d.jpeg;https://tk.tokopedia.com/ZSPRk22uS/;https://id.shp.ee/Xb43zW8
40;Asus;Zenbook 14 OLED (UX3402VA);Intel Core i9-13900H;Intel Iris Xe Graphics;16GB LPDDR5 (on board, Tidak Upgradeable);1TB M.2 NVMe™ PCIe® 4.0 SSD;"14"" 2.8K (2880 x 1800), 90Hz, OLED, Touchscreen";Dolby Atmos, Harman Kardon;75Wh, 65W Type-C;1.39 kg;Aluminium Alloy;Windows 11 Home + OHS 2021;Rp 15.300.000 - 15.500.000;40a.jpeg;40b.jpeg;40c.jpeg;40d.jpeg;https://tk.tokopedia.com/ZSPR9BdV8/;https://id.shp.ee/AqwBZbc
41;HP;EliteBook 635 Aero G11;AMD Ryzen 5 8640U;AMD Radeon 760M;16DDR5 7500MHz (Onboard);512GB PCIe Gen4 NVMe (Upgradeable);"13.3"" WUXGA (1920 x 1200), 60Hz, IPS, Anti-glare";HP Audio, Poly Studio;42Wh;1.20 kg;Magnesium / Aluminium;Windows 11 Pro;Rp 13.300.000 - 13.500.000;41a.jpeg;41b.jpeg;41c.jpeg;41d.jpeg;https://tk.tokopedia.com/ZSPR9fuUY/;https://id.shp.ee/7DihxU3
42;HP;OmniBook Ultra 14;Intel Core Ultra 7 258V (EVO);Intel Arc Graphics;32GB LPDDR5x 7500MHz (Onboard);1TB PCIe Gen4 NVMe (Upgradeable);"14"" 2.8K (2880 x 1800), 120Hz, OLED, Touchscreen";Poly Studio, DTS:X Ultra;68Wh, 65W USB-C;1.57 kg;Recycled Aluminium;Windows 11 Home + OHS 2021;Rp 26.000.000++;42a.jpeg;42b.jpeg;42c.jpeg;42d.jpeg;https://tk.tokopedia.com/ZSPRxmffX/;https://id.shp.ee/eAzjr5e
43;HP;Pavilion Aero 13 (be2000 / bg0000);AMD Ryzen 7 8840U;AMD Radeon Graphics;16GB LPDDR5x 6400MHz (Soldered, Tidak Upgradeable, Onboard);1TB PCIe NVMe M.2 SSD (Upgradeable, 1 Slot);"13.3"" WUXGA (1920 x 1200), 60Hz, IPS, 400 nits, 100% sRGB";Audio by B&O;43Wh, 45W Smart AC;0.99 kg;Magnesium-Aluminium Alloy;Windows 11 Home + OHS 2021;Rp 13.400.000 - 13.600.000;43a.jpeg;43b.jpeg;43c.jpeg;43d.jpeg;https://tk.tokopedia.com/ZSPRx7Mwq/;https://id.shp.ee/8TbaAMm
